y_threshold,CER
0.001,[0.5005452562704471]
0.002,[0.4994547437295529]
0.003,[0.4994547437295529]
0.004,[0.4994547437295529]
0.005,[0.4994547437295529]
0.006,[0.4994547437295529]
0.007,[0.4994547437295529]
0.008,[0.4994547437295529]
0.009000000000000001,[0.4994547437295529]
0.010000000000000002,[0.4994547437295529]
0.011,[0.5332606324972737]
0.012,[0.5561613958560524]
0.013000000000000001,[0.5539803707742639]
0.014000000000000002,[0.5528898582333697]
0.015,[0.5528898582333697]
0.016,[0.5528898582333697]
0.017,[0.5561613958560524]
0.018000000000000002,[0.5561613958560524]
0.019000000000000003,[0.5561613958560524]
